Level,Period,Duration_seconds,Duration_days,Duration_months,Duration_years
4,Mars -> Antardasha -> Mercury -> Duration_days,,362.20625,,
4,Mars -> Antardasha -> Mercury -> Duration_months,,,11.899022667542704,
4,Mars -> Antardasha -> Mercury -> Duration_years,,,,0.9916666666666667
2,Rahu -> Mahadasha_duration_seconds,568036800.0,,,
2,Rahu -> Mahadasha_duration_days,,6574.5,,
2,Rahu -> Mahadasha_duration_months,,,215.98226018396844,
2,Rahu -> Mahadasha_duration_years,,,,18.0
4,Rahu -> Antardasha -> Ketu -> Duration_seconds,33135480.0,,,
4,Rahu -> Antardasha -> Ketu -> Duration_days,,383.5125,,
4,Rahu -> Antardasha -> Ketu -> Duration_months,,,12.598965177398158,
4,Rahu -> Antardasha -> Ketu -> Duration_years,,,,1.05
4,Rahu -> Antardasha -> Venus -> Duration_seconds,94672800.0,,,
4,Rahu -> Antardasha -> Venus -> Duration_days,,1095.75,,
4,Rahu -> Antardasha -> Venus -> Duration_months,,,35.997043363994734,
4,Rahu -> Antardasha -> Venus -> Duration_years,,,,3.0
4,Rahu -> Antardasha -> Sun -> Duration_seconds,28401840.0,,,
4,Rahu -> Antardasha -> Sun -> Duration_days,,328.725,,
4,Rahu -> Antardasha -> Sun -> Duration_months,,,10.799113009198422,
4,Rahu -> Antardasha -> Sun -> Duration_years,,,,0.9
4,Rahu -> Antardasha -> Moon -> Duration_seconds,47336400.0,,,
4,Rahu -> Antardasha -> Moon -> Duration_days,,547.875,,
4,Rahu -> Antardasha -> Moon -> Duration_months,,,17.998521681997367,
4,Rahu -> Antardasha -> Moon -> Duration_years,,,,1.5
4,Rahu -> Antardasha -> Mars -> Duration_seconds,33135480.0,,,
4,Rahu -> Antardasha -> Mars -> Duration_days,,383.5125,,
4,Rahu -> Antardasha -> Mars -> Duration_months,,,12.598965177398158,
4,Rahu -> Antardasha -> Mars -> Duration_years,,,,1.05
4,Rahu -> Antardasha -> Rahu -> Duration_seconds,85205520.0,,,
4,Rahu -> Antardasha -> Rahu -> Duration_days,,986.175,,
4,Rahu -> Antardasha -> Rahu -> Duration_months,,,32.397339027595265,
4,Rahu -> Antardasha -> Rahu -> Duration_years,,,,2.7
4,Rahu -> Antardasha -> Jupiter -> Duration_seconds,75738240.0,,,
4,Rahu -> Antardasha -> Jupiter -> Duration_days,,876.6,,
4,Rahu -> Antardasha -> Jupiter -> Duration_months,,,28.79763469119579,
4,Rahu -> Antardasha -> Jupiter -> Duration_years,,,,2.4
4,Rahu -> Antardasha -> Saturn -> Duration_seconds,89939160.0,,,
4,Rahu -> Antardasha -> Saturn -> Duration_days,,1040.9625,,
4,Rahu -> Antardasha -> Saturn -> Duration_months,,,34.197191195795,
4,Rahu -> Antardasha -> Saturn -> Duration_years,,,,2.85
4,Rahu -> Antardasha -> Mercury -> Duration_seconds,80471880.0,,,
4,Rahu -> Antardasha -> Mercury -> Duration_days,,931.3875,,
4,Rahu -> Antardasha -> Mercury -> Duration_months,,,30.597486859395527,
4,Rahu -> Antardasha -> Mercury -> Duration_years,,,,2.55
2,Jupiter -> Mahadasha_duration_seconds,504921600.0,,,
2,Jupiter -> Mahadasha_duration_days,,5844.0,,
2,Jupiter -> Mahadasha_duration_months,,,191.9842312746386,
2,Jupiter -> Mahadasha_duration_years,,,,16.0
4,Jupiter -> Antardasha -> Ketu -> Duration_seconds,29453760.0,,,
4,Jupiter -> Antardasha -> Ketu -> Duration_days,,340.9,,
4,Jupiter -> Antardasha -> Ketu -> Duration_months,,,11.199080157687252,
4,Jupiter -> Antardasha -> Ketu -> Duration_years,,,,0.9333333333333333
4,Jupiter -> Antardasha -> Venus -> Duration_seconds,84153600.0,,,
4,Jupiter -> Antardasha -> Venus -> Duration_days,,974.0,,
4,Jupiter -> Antardasha -> Venus -> Duration_months,,,31.997371879106435,
4,Jupiter -> Antardasha -> Venus -> Duration_years,,,,2.6666666666666665
4,Jupiter -> Antardasha -> Sun -> Duration_seconds,25246080.0,,,
4,Jupiter -> Antardasha -> Sun -> Duration_days,,292.2,,
4,Jupiter -> Antardasha -> Sun -> Duration_months,,,9.59921156373193,
4,Jupiter -> Antardasha -> Sun -> Duration_years,,,,0.8
4,Jupiter -> Antardasha -> Moon -> Duration_seconds,42076800.0,,,
4,Jupiter -> Antardasha -> Moon -> Duration_days,,487.0,,
4,Jupiter -> Antardasha -> Moon -> Duration_months,,,15.998685939553217,
4,Jupiter -> Antardasha -> Moon -> Duration_years,,,,1.3333333333333333
4,Jupiter -> Antardasha -> Mars -> Duration_seconds,29453760.0,,,
4,Jupiter -> Antardasha -> Mars -> Duration_days,,340.9,,
4,Jupiter -> Antardasha -> Mars -> Duration_months,,,11.199080157687252,
4,Jupiter -> Antardasha -> Mars -> Duration_years,,,,0.9333333333333333
4,Jupiter -> Antardasha -> Rahu -> Duration_seconds,75738240.0,,,
4,Jupiter -> Antardasha -> Rahu -> Duration_days,,876.6,,
4,Jupiter -> Antardasha -> Rahu -> Duration_months,,,28.79763469119579,
4,Jupiter -> Antardasha -> Rahu -> Duration_years,,,,2.4
4,Jupiter -> Antardasha -> Jupiter -> Duration_seconds,67322880.0,,,
4,Jupiter -> Antardasha -> Jupiter -> Duration_days,,779.2,,
4,Jupiter -> Antardasha -> Jupiter -> Duration_months,,,25.597897503285147,
4,Jupiter -> Antardasha -> Jupiter -> Duration_years,,,,2.1333333333333333
4,Jupiter -> Antardasha -> Saturn -> Duration_seconds,79945920.0,,,
4,Jupiter -> Antardasha -> Saturn -> Duration_days,,925.3,,
4,Jupiter -> Antardasha -> Saturn -> Duration_months,,,30.39750328515111,
4,Jupiter -> Antardasha -> Saturn -> Duration_years,,,,2.533333333333333
4,Jupiter -> Antardasha -> Mercury -> Duration_seconds,71530560.0,,,
4,Jupiter -> Antardasha -> Mercury -> Duration_days,,827.9,,
4,Jupiter -> Antardasha -> Mercury -> Duration_months,,,27.197766097240468,
4,Jupiter -> Antardasha -> Mercury -> Duration_years,,,,2.2666666666666666
2,Saturn -> Mahadasha_duration_seconds,599594400.0,,,
2,Saturn -> Mahadasha_duration_days,,6939.75,,
2,Saturn -> Mahadasha_duration_months,,,227.98127463863332,
2,Saturn -> Mahadasha_duration_years,,,,19.0
4,Saturn -> Antardasha -> Ketu -> Duration_seconds,34976340.0,,,
4,Saturn -> Antardasha -> Ketu -> Duration_days,,404.81875,,
4,Saturn -> Antardasha -> Ketu -> Duration_months,,,13.298907687253612,
4,Saturn -> Antardasha -> Ketu -> Duration_years,,,,1.1083333333333334
4,Saturn -> Antardasha -> Venus -> Duration_seconds,99932400.0,,,
4,Saturn -> Antardasha -> Venus -> Duration_days,,1156.625,,
4,Saturn -> Antardasha -> Venus -> Duration_months,,,37.99687910643889,
4,Saturn -> Antardasha -> Venus -> Duration_years,,,,3.1666666666666665
4,Saturn -> Antardasha -> Sun -> Duration_seconds,29979720.0,,,
4,Saturn -> Antardasha -> Sun -> Duration_days,,346.9875,,
4,Saturn -> Antardasha -> Sun -> Duration_months,,,11.399063731931667,
4,Saturn -> Antardasha -> Sun -> Duration_years,,,,0.95
4,Saturn -> Antardasha -> Moon -> Duration_seconds,49966200.0,,,
4,Saturn -> Antardasha -> Moon -> Duration_days,,578.3125,,
4,Saturn -> Antardasha -> Moon -> Duration_months,,,18.998439553219445,
4,Saturn -> Antardasha -> Moon -> Duration_years,,,,1.5833333333333333
4,Saturn -> Antardasha -> Mars -> Duration_seconds,34976340.0,,,
4,Saturn -> Antardasha -> Mars -> Duration_days,,404.81875,,
4,Saturn -> Antardasha -> Mars -> Duration_months,,,13.298907687253612,
4,Saturn -> Antardasha -> Mars -> Duration_years,,,,1.1083333333333334
4,Saturn -> Antardasha -> Rahu -> Duration_seconds,89939160.0,,,
4,Saturn -> Antardasha -> Rahu -> Duration_days,,1040.9625,,
